"","year","size"
"1",1949,410
"2",1950,410
"3",1951,410
"4",1952,410
"5",1953,509
"6",1954,509
"7",1955,509
"8",1956,509
"9",1957,519
"10",1958,519
"11",1959,519
"12",1960,519
"13",1961,521
"14",1962,521
"15",1963,521
"16",1964,521
"17",1965,518
"18",1966,518
"19",1967,518
"20",1968,518
"21",1969,518
"22",1970,518
"23",1971,518
"24",1972,518
"25",1973,518
"26",1974,518
"27",1975,518
"28",1976,518
"29",1977,518
"30",1978,518
"31",1979,518
"32",1980,519
"33",1981,519
"34",1982,519
"35",1983,520
"36",1984,520
"37",1985,520
"38",1986,520
"39",1987,519
"40",1988,519
"41",1989,519
"42",1990,662
"43",1991,662
"44",1992,662
"45",1993,662
"46",1994,672
"47",1995,672
"48",1996,672
"49",1997,672
"50",1998,669
"51",1999,669
"52",2000,669
"53",2001,669
"54",2002,603
"55",2003,603
"56",2004,603
"57",2005,614
"58",2006,614
"59",2007,614
"60",2008,614
"61",2009,622
"62",2010,622
"63",2011,622
"64",2012,622
"65",2013,631
"66",2014,631
"67",2015,631
"68",2016,631
"69",2017,709
"70",2018,709
"71",2019,709
"72",2020,709
"73",2021,709
