"year","mandates"
1949,410
1950,410
1951,410
1952,410
1953,509
1954,509
1955,509
1956,509
1957,519
1958,519
1959,519
1960,519
1961,521
1962,521
1963,521
1964,521
1965,518
1966,518
1967,518
1968,518
1969,518
1970,518
1971,518
1972,518
1973,518
1974,518
1975,518
1976,518
1977,518
1978,518
1979,518
1980,519
1981,519
1982,519
1983,520
1984,520
1985,520
1986,520
1987,519
1988,519
1989,519
1990,662
1991,662
1992,662
1993,662
1994,672
1995,672
1996,672
1997,672
1998,669
1999,669
2000,669
2001,669
2002,603
2003,603
2004,603
2005,614
2006,614
2007,614
2008,614
2009,622
2010,622
2011,622
2012,622
2013,631
2014,631
2015,631
2016,631
2017,709
2018,709
2019,709
2020,709
